'CyclicBell.General.purifiedBehavior' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.purifiedInstrument' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.purifyStrategy' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.purifyStrategy_behavior' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.encoded_two_eq_sub' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.encoded_two_involution' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.measurement_two_effect' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.binary_involution_leftLift' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.binary_involution_rightLift' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.binaryEffect_leftLift' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.binaryEffect_rightLift' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.binary_purified_saturation' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.BinaryPrivacyAt' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.binary_maximum_certifies_privacy' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.binary_two_input_private_achievable' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.groupingBinaryMeasurement' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.perfect_guess_not_private' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.oneInputPurifiedStrategy' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.oneInputPurifiedStrategy_behavior' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.oneInputPurifiedStrategy_not_private' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.left_one_input_no_binary_privacy' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.rightInputPurifiedStrategy' depends on axioms: [propext, Classical.choice, Quot.sound]
