# source_k6_atoms=51 rank_five_labeled=2012 distinct_triangle_count_vectors=1782
6,6,6,6,0,6,6,5,6,2,3,3,6,2,5,6,2,6,2,6,2,0,0,0,0,0,17,17,19,19,20,20,20,20,20,20,39,39,39,39,40,40,40,40,49,49,49,49,50,50,50,50,50,50,50,50
6,4,2,2,6,4,4,2,2,6,4,2,5,6,3,6,0,2,2,2,6,0,0,0,0,0,17,18,18,18,18,18,18,20,20,20,20,20,20,20,20,23,26,26,29,29,35,35,40,43,43,46,46,46,46,50
6,6,6,6,0,6,6,5,6,2,4,3,6,2,4,6,2,4,2,4,2,0,0,0,0,0,17,18,18,18,18,19,20,20,20,20,35,39,40,40,42,43,43,43,43,46,46,46,46,49,49,50,50,50,50,50
6,6,6,6,0,2,6,5,6,2,5,3,6,2,3,6,2,2,2,2,6,0,0,0,0,0,17,19,20,20,20,20,20,20,20,20,20,21,24,24,24,28,29,29,29,39,39,40,40,49,49,50,50,50,50,50
6,6,6,6,0,2,6,5,6,2,2,3,6,2,2,6,2,5,2,3,6,0,0,0,0,0,17,19,20,20,20,20,20,20,20,20,20,23,24,24,24,24,28,29,29,39,39,40,40,49,49,50,50,50,50,50
6,6,6,6,0,2,6,5,6,2,2,3,6,2,2,6,2,5,2,5,6,0,0,0,0,0,17,19,20,20,20,20,20,20,20,20,20,23,28,29,29,29,29,29,29,39,40,40,48,49,49,50,50,50,50,50
6,6,6,6,0,6,6,5,6,2,6,3,6,2,6,6,2,6,2,6,2,0,0,0,0,0,17,19,20,20,20,20,20,20,20,20,39,40,40,40,49,49,49,50,50,50,50,50,50,50,50,50,50,50,50,50
6,6,6,6,0,2,6,5,6,2,5,3,6,2,5,6,2,2,2,3,6,0,0,0,0,0,17,19,20,20,20,20,20,20,23,24,24,24,28,29,29,29,29,39,39,39,40,40,48,49,49,50,50,50,50,50
6,6,6,6,0,2,6,5,6,2,5,3,6,2,5,6,2,2,2,5,6,0,0,0,0,0,17,19,20,20,20,20,20,20,23,28,29,29,29,29,29,29,29,39,40,40,48,48,48,49,49,50,50,50,50,50
6,6,6,6,0,2,6,5,6,2,3,3,6,2,5,6,2,3,2,5,6,0,0,0,0,0,17,19,20,20,20,20,24,24,24,24,29,29,29,29,33,33,39,39,39,39,40,40,48,49,49,50,50,50,50,50
