source_index	target_index	relation
249	8172	strict
249	8559	strict
249	8560	strict
249	8569	strict
249	8571	strict
249	8574	strict
250	1386	equal
250	1388	strict
251	1388	equal
252	1389	equal
252	1391	strict
253	1391	equal
254	1392	equal
254	1393	strict
254	1396	strict
254	1400	strict
254	1401	strict
254	1807	strict
254	1826	strict
254	1828	strict
254	2764	strict
254	13830	strict
254	13934	strict
254	13936	strict
254	13940	strict
254	13941	strict
254	13944	strict
255	1393	equal
255	1396	strict
255	1401	strict
255	13830	strict
255	13944	strict
256	1394	equal
256	1395	strict
256	1397	strict
256	1404	strict
256	1405	strict
256	1809	strict
256	1829	strict
256	1831	strict
256	2640	strict
256	2768	strict
256	2770	strict
256	2774	strict
256	2775	strict
256	2778	strict
256	13928	strict
257	1395	equal
257	1397	strict
257	1405	strict
257	2640	strict
257	2778	strict
258	1401	equal
259	1405	equal
260	1406	equal
260	1411	strict
260	1413	strict
260	1470	strict
260	1472	strict
260	2576	strict
261	1407	equal
261	1408	strict
261	1409	strict
261	1412	strict
261	1413	strict
261	1473	strict
261	1476	strict
261	1481	strict
261	2659	strict
261	16110	strict
261	16247	strict
261	16249	strict
261	16253	strict
261	16254	strict
261	16257	strict
262	1408	equal
262	1409	strict
262	1413	strict
262	16110	strict
262	16257	strict
263	1413	equal
264	1414	equal
264	1415	strict
264	1416	strict
264	1420	strict
264	1421	strict
264	1485	strict
264	1489	strict
264	1495	strict
264	2687	strict
264	2690	strict
264	2703	strict
264	2713	strict
264	2715	strict
264	2717	strict
264	16230	strict
265	1415	equal
265	1416	strict
265	1421	strict
265	2703	strict
265	2717	strict
266	1417	equal
266	1419	strict
266	1421	strict
266	1487	strict
266	1497	strict
266	16233	strict
267	1421	equal
268	1423	equal
269	1424	equal
269	1426	strict
270	1426	equal
271	1427	equal
272	1428	equal
272	1431	strict
273	1430	equal
274	1431	equal
275	1432	equal
276	1433	equal
277	1435	equal
278	1436	equal
279	1438	equal
280	1439	equal
280	7113	strict
281	1440	equal
281	7128	strict
282	1441	equal
282	1443	strict
282	7105	strict
282	7107	strict
282	7109	strict
282	7113	strict
283	1442	equal
283	7113	strict
284	1444	equal
285	1445	equal
286	1446	equal
286	1447	strict
286	7120	strict
286	7121	strict
286	7126	strict
286	7128	strict
287	1448	equal
287	7128	strict
288	1449	equal
288	8550	strict
289	1450	equal
289	8571	strict
290	1451	equal
290	1453	strict
290	8538	strict
290	8540	strict
290	8544	strict
290	8550	strict
291	1452	equal
291	8550	strict
292	1454	equal
293	1455	equal
294	1456	equal
294	1457	strict
294	8559	strict
294	8560	strict
294	8569	strict
294	8571	strict
295	1458	equal
295	8571	strict
296	1470	equal
296	2576	strict
297	1471	equal
297	1480	strict
298	1472	equal
299	1473	equal
299	1476	strict
299	16247	strict
299	16253	strict
299	16254	strict
299	16257	strict
300	1474	equal
300	16257	strict
301	1477	equal
302	1478	equal
303	1480	equal
304	1481	equal
305	1482	equal
306	1485	equal
306	1489	strict
306	2687	strict
306	2713	strict
306	2715	strict
306	2717	strict
307	1486	equal
307	2717	strict
308	1487	equal
308	16233	strict
309	1490	equal
310	1491	equal
311	1492	equal
311	1494	strict
312	1494	equal
313	1495	equal
314	1496	equal
315	1497	equal
316	1593	equal
316	1611	strict
316	1727	strict
316	1728	strict
316	1793	strict
316	1826	strict
316	1827	strict
316	1828	strict
316	2297	strict
316	12510	strict
316	12511	strict
316	12518	strict
316	13855	strict
316	13934	strict
316	13940	strict
316	13941	strict
316	13944	strict
317	1594	equal
317	1612	strict
317	1729	strict
317	1730	strict
317	1796	strict
317	1829	strict
317	1830	strict
317	1831	strict
317	2300	strict
317	2301	strict
317	2440	strict
317	2686	strict
317	2768	strict
317	2774	strict
317	2775	strict
317	2778	strict
317	10902	strict
318	1595	equal
318	1613	strict
318	1614	strict
318	1621	strict
318	1625	strict
318	1634	strict
318	1770	strict
318	1794	strict
318	2299	strict
318	12512	strict
318	12513	strict
318	12521	strict
318	12705	strict
318	12745	strict
318	12754	strict
318	12756	strict
318	12758	strict
319	1596	equal
319	1615	strict
319	1616	strict
319	1622	strict
319	1626	strict
319	1636	strict
319	1771	strict
319	1797	strict
319	2302	strict
319	2303	strict
319	2344	strict
319	2443	strict
319	2501	strict
319	2503	strict
319	2505	strict
319	2507	strict
319	10904	strict
320	1597	equal
320	1598	strict
320	1760	strict
320	2312	strict
320	3843	strict
320	3863	strict
320	13620	strict
320	13638	strict
320	13687	strict
320	13856	strict
320	13858	strict
320	13874	strict
320	13882	strict
320	13884	strict
320	13886	strict
320	14029	strict
321	1598	equal
321	13874	strict
321	13886	strict
322	1599	equal
322	1600	strict
322	1761	strict
322	2314	strict
322	3844	strict
322	3845	strict
322	13622	strict
322	13640	strict
322	13642	strict
322	13660	strict
322	13688	strict
