canonical_graph6,n,m,origin_count,gamma,alpha,earliest_forced_rank,latest_forced_rank,full_kernel_deletion_depth
K]?H[|]nj}\k,12,39,2,3,3,5,6,6
K]?kyy|^fUX~,12,41,2,2,3,,,
K]he_Yv]u]Bn,12,38,2,3,3,3,5,5
K]lvEAVUpZ`~,12,38,2,3,4,,,
K]sO\lujj]W~,12,40,1,2,3,,,
K]y\atsBxNh~,12,40,4,2,3,,,
K^?g|\mfi}XN,12,39,1,2,3,,,
K^DmCQnfrMj\,12,38,4,2,4,,,
K^G\ZY\VeFx~,12,41,1,2,3,,,
K^h`]YVUo|j~,12,41,4,2,3,,,
K^oE\X\\tl@~,12,39,2,2,3,,,
K^qkrT[Hwnh~,12,40,2,2,3,,,
K^qkrT[Hwnn~,12,42,2,2,3,,,
K^qku@jVPNa~,12,38,2,2,3,,,
K^rHGqfYynRZ,12,38,2,3,4,,,
K^rLJTUeXNb^,12,39,2,3,3,2,4,4
K_Phsut}nmNk,12,38,4,3,4,,,
K_Phvesf~tNk,12,38,4,3,4,,,
K_Pjszs{tvFm,12,38,4,3,4,,,
K_XR[ns}TvFm,12,38,4,3,3,3,4,4
K_Xa{ns}TvFm,12,38,4,3,4,,,
K`PJ[zs{tvFm,12,38,4,2,3,,,
KaytA`~fvMFZ,12,38,4,2,4,,,
Kcyqb@~fvMFZ,12,38,4,2,4,,,
Kg?ruykvlvNk,12,38,4,3,4,,,
KgCbtj[j}}Nk,12,38,4,2,3,,,
KgF]tij]rxC~,12,39,2,2,3,,,
KgN]tYrYrha~,12,39,4,3,3,3,4,4
KgN^tYRYZha~,12,39,4,2,3,,,
KgWPumsvl^Nk,12,38,4,3,3,3,4,4
KhF^sUtYZYa~,12,39,4,2,4,,,
KhF}teLYYtc~,12,39,4,2,3,,,
KhOHs]tvnmNk,12,38,4,2,3,,,
Ki?g|d[Yxz^o,12,35,4,3,4,,,
KiJmtUT]X|A~,12,39,4,2,3,,,
KiN^TYR[W|c~,12,39,4,2,3,,,
Ki^VCulDx\ez,12,39,4,2,3,,,
Ki^VDYZBxmev,12,39,2,2,4,,,
KjBNSut^P|@~,12,39,4,2,3,,,
KjJ]TYrYo|a~,12,39,4,3,3,3,4,4
KjJmSyrUp\a~,12,39,4,2,3,,,
KjJmTuTUg|c~,12,39,4,3,4,,,
KjJmTuTUh\a~,12,39,4,2,3,,,
KjJmTuT[g^bv,12,39,4,2,3,,,
KjJmtUT[W^bv,12,39,4,2,3,,,
KjnMdAjFrJa~,12,38,4,3,3,2,3,3
Klof\xwR[la~,12,39,4,2,3,,,
Ko?r\r^~AynX,12,38,4,2,4,,,
Ko?ydv\~b\NX,12,38,4,2,4,,,
Ko?zLr^~AunX,12,38,4,3,4,,,
Ko@RTzZ~@|nw,12,38,4,2,4,,,
Ko@ZTzZ~@tmx,12,38,4,3,4,,,
Ko@r]yz}@yjV,12,38,4,3,4,,,
KoCjLr^~Aumx,12,38,4,3,3,3,4,4
KoCqeyz~b]Lt,12,38,2,2,4,,,
KoCxqxjXus}d,12,36,4,3,4,,,
KoCxrLsYmvZi,12,36,2,3,4,,,
KoCxrTeumz]i,12,37,4,3,4,,,
KoCxrhjuux[r,12,37,2,3,3,2,3,3
KoCyptfvNQ}p,12,37,4,3,3,3,4,4
KoCypthXux}s,12,36,4,3,4,,,
KoCypth\mx[x,12,36,4,3,4,,,
KoCyqxumfR{y,12,37,4,2,3,,,
KoDJLzZ~@tmx,12,38,4,3,3,3,4,4
KoDXqs{\fR{{,12,36,2,2,4,,,
KoDXrLg\mvVk,12,36,2,3,4,,,
KoDXrPeu|z]w,12,37,2,3,4,,,
KoDXrPvuty[r,12,37,2,3,4,,,
KoDXr\eulx]J,12,37,2,3,4,,,
KoDXyoxXzXMX,12,34,1,3,4,,,
KoDXyoxX~X]X,12,36,1,3,3,1,3,3
KoDXyoxx~X]X,12,37,1,2,3,,,
KoDXypsm^V[y,12,37,4,2,4,,,
KoDXzLsYlrZJ,12,36,2,3,4,,,
KoDXzTemMr}i,12,37,4,2,4,,,
KoDXzhjmUp{r,12,37,2,3,3,3,3,3
KoDZZHqn]rVX,12,37,4,3,4,,,
KoDbMyz}@}ju,12,38,2,3,3,5,6,6
KoHRTjZ~?~nw,12,38,4,3,3,3,4,4
KoHb|jZ}?zjj,12,38,4,3,4,,,
KoHr\jZ}?vjj,12,38,4,3,3,2,3,3
KoKqrLmfuh~H,12,37,4,3,4,,,
KoKqrlmfeh|J,12,37,4,3,3,1,3,3
KoKrrLkfUlzM,12,37,4,3,4,,,
KoLPjDm^S}ZL,12,36,4,3,4,,,
KoLPjDmfur~g,12,37,4,3,4,,,
KoLPjdmZS{zL,12,36,4,3,4,,,
KoLPjdmfer|i,12,37,4,3,4,,,
KoLQrdlfli|p,12,37,4,3,4,,,
KoLjLf\}?viz,12,38,4,3,3,3,4,4
KoMu~oNTZTmf,12,39,4,2,4,,,
KoMu~oVTZTlf,12,39,4,2,3,,,
KoOjlrV~?znX,12,38,4,2,3,,,
KoOr\rV~?znX,12,38,4,3,3,3,4,4
KoSqhpbZs~^c,12,36,2,3,4,,,
KoSqhpkf~f\w,12,37,2,2,4,,,
KoSqhpnfvE~`,12,37,2,3,3,1,3,3
KoSqhprZK}|w,12,36,2,3,4,,,
KoSqhprZs}\d,12,36,2,3,4,,,
KoSqhp{fvF|w,12,37,2,2,4,,,
KoSr?|VMrX~o,12,35,2,3,4,,,
