seed_id,pair_index,first_vertex,second_vertex,toggle_action,raw_graph6,canonical_graph6,category
ET-0005,16,1,8,add,JAJe\jZ^Ju?,JAlpMDzfv]?,gamma_below_eternal
ET-0005,17,1,9,delete,JAJe\iZNJu?,J@Maj]]q^c_,gamma_below_eternal
ET-0005,18,1,10,delete,JAJe\iZ^Hu?,J@Maj]]q^c_,gamma_below_eternal
ET-0005,19,2,3,add,JBJe\iZ^Ju?,JCuvYgx[zZ?,gamma_below_eternal
ET-0005,20,2,4,delete,JABe\iZ^Ju?,J?FTmYj^Ju?,gamma_below_eternal
ET-0005,21,2,5,delete,JAJE\iZ^Ju?,J@UBLh^nfU?,gamma_below_eternal
ET-0005,22,2,6,add,JAJf\iZ^Ju?,JAlpMDzfv]?,gamma_below_eternal
ET-0005,23,2,7,delete,JAJe[iZ^Ju?,J@UBLh^nfU?,gamma_below_eternal
ET-0005,24,2,8,add,JAJe\iz^Ju?,JAlpMDzfv]?,gamma_below_eternal
ET-0005,25,2,9,delete,JAJe\iZVJu?,J@Maj]]q^c_,gamma_below_eternal
ET-0005,26,2,10,delete,JAJe\iZ^Iu?,J@Maj]]q^c_,gamma_below_eternal
ET-0005,27,3,4,add,JANe\iZ^Ju?,JCuvYgx[zZ?,gamma_below_eternal
ET-0005,28,3,5,add,JAJu\iZ^Ju?,JAlpMDzfv]?,gamma_below_eternal
ET-0005,29,3,6,add,JAJe|iZ^Ju?,JAlpMDzfv]?,gamma_below_eternal
ET-0005,30,3,7,delete,JAJe\IZ^Ju?,J@UBLh^nfU?,gamma_below_eternal
ET-0005,31,3,8,delete,JAJe\iJ^Ju?,J@UBLh^nfU?,gamma_below_eternal
ET-0005,32,3,9,delete,JAJe\iZZJu?,J@Maj]]q^c_,gamma_below_eternal
ET-0005,33,3,10,delete,JAJe\iZ^JU?,J@Maj]]q^c_,gamma_below_eternal
ET-0005,34,4,5,add,JAJm\iZ^Ju?,JAlpMDzfv]?,gamma_below_eternal
ET-0005,35,4,6,delete,JAJeLiZ^Ju?,J@UBLh^nfU?,gamma_below_eternal
ET-0005,36,4,7,add,JAJe\yZ^Ju?,JAlpMDzfv]?,gamma_below_eternal
ET-0005,37,4,8,delete,JAJe\iR^Ju?,J@UBLh^nfU?,gamma_below_eternal
ET-0005,38,4,9,delete,JAJe\iZ\Ju?,J@Maj]]q^c_,gamma_below_eternal
ET-0005,39,4,10,delete,JAJe\iZ^Je?,J@Maj]]q^c_,gamma_below_eternal
ET-0005,40,5,6,delete,JAJeTiZ^Ju?,JoOjeqtVh}?,gamma_below_eternal
ET-0005,41,5,7,delete,JAJe\aZ^Ju?,JoOjeqtVh}?,gamma_below_eternal
ET-0005,42,5,8,add,JAJe\i^^Ju?,JGFTRp}rtm_,gamma_below_eternal
ET-0005,43,5,9,delete,JAJe\iZ]Ju?,J_XP~JWkxz?,gamma_below_eternal
ET-0005,44,5,10,add,JAJe\iZ^J}?,JAJLfLxfj{_,gamma_below_eternal
ET-0005,45,6,7,add,JAJe\mZ^Ju?,JGFTRp}rtm_,gamma_below_eternal
ET-0005,46,6,8,delete,JAJe\iX^Ju?,JoOjeqtVh}?,gamma_below_eternal
ET-0005,47,6,9,add,JAJe\iZ^ju?,JAJLfLxfj{_,gamma_below_eternal
ET-0005,48,6,10,delete,JAJe\iZ^Jq?,J_XP~JWkxz?,gamma_below_eternal
ET-0005,49,7,8,delete,JAJe\iY^Ju?,JoOjeqtVh}?,gamma_below_eternal
ET-0005,50,7,9,add,JAJe\iZ^Zu?,JAJLfLxfj{_,gamma_below_eternal
